Country Name,Year,GDP growth,Trade ,Total natural resources rents,Population growth
Algeria,2000,3.800000001,62.85834364,26.68689739,1.399668558
Algeria,2001,2.999999999,54.52964912,23.63094129,1.373291341
Algeria,2002,5.4,56.58960528,23.47093852,1.330394777
Algeria,2003,6.5,57.7691353,24.45232261,1.329615242
Algeria,2004,4.5,61.35799757,26.15731301,1.396440425
Algeria,2005,5.4,66.84046022,32.68003154,1.463308846
Algeria,2006,2.9,65.91529197,34.19132242,1.541273638
Algeria,2007,3.1,67.54547339,32.06007285,1.669071678
Algeria,2008,2.5,71.02849225,32.86509136,1.818853062
Algeria,2009,1.2,64.28475472,24.20225093,1.915885222
Algeria,2010,4.8,63.49121599,25.53832442,1.947058832
Algeria,2011,3,62.22008996,28.58128996,1.956894374
Algeria,2012,2.4,60.75763933,26.25251446,1.992807901
Algeria,2013,2.6,59.15100816,24.2231339,2.019531158
Algeria,2014,4.1,56.92354197,22.61230978,2.037865242
Algeria,2015,3.2,53.20462259,14.92525275,2.056247957
Algeria,2016,3.9,49.76093279,12.8191814,2.055691112
Algeria,2017,1.5,49.82081617,15.37239297,2.032000608
Algeria,2018,1.4,52.43616768,20.71720284,1.937806233
Algeria,2019,0.9,46.50684261,18.52367894,1.840412914
Algeria,2020,-5,40.38975656,14.03437709,1.711912165
Algeria,2021,3.8,46.83705926,22.59027035,1.619364602
Bahrain,2000,5.300070056,135.8091353,22.61661109,2.63695278
Bahrain,2001,2.490948108,127.0262663,19.60648061,3.654889294
Bahrain,2002,3.348550668,131.1336342,18.30967403,7.181175095
Bahrain,2003,6.296441979,128.0915822,18.25152267,7.320072177
Bahrain,2004,6.980960594,140.73731,19.54749939,7.461189823
Bahrain,2005,6.768997871,148.3135251,23.55017826,7.604083038
Bahrain,2006,6.467000122,147.1041811,23.9324887,7.747786313
Bahrain,2007,8.293960448,137.7850506,22.27590613,7.892302403
Bahrain,2008,6.245010775,145.8825111,24.8161182,5.994072321
Bahrain,2009,2.539885936,117.9637254,18.07620914,6.568699333
Bahrain,2010,4.334299173,115.5615857,20.46211656,4.165859919
Bahrain,2011,1.928157912,167.5295521,26.99494314,-2.766599276
Bahrain,2012,3.80302899,178.824104,23.58222136,1.160087287
Bahrain,2013,5.292622249,184.5896661,24.53363355,3.592930394
Bahrain,2014,4.308856927,168.5757817,22.41132826,4.781043184
Bahrain,2015,2.507872053,147.4399694,12.63467523,4.154221842
Bahrain,2016,3.814993274,132.4149336,9.648615492,3.823163003
Bahrain,2017,4.953835341,136.0267095,11.16032746,5.293145273
Bahrain,2018,2.05258865,144.0753726,14.75135642,0.131482304
Bahrain,2019,2.052877744,135.4175434,13.36378399,-1.294694377
Bahrain,2020,-5.911362952,135.460985,10.70414142,-0.781611308
Bahrain,2021,4.350040917,153.7993165,16.64003372,2.161028459
"Egypt, Arab Rep.",2000,6.37000383,39.0179359,7.419745911,2.160919785
"Egypt, Arab Rep.",2001,3.535251974,39.81042654,6.469385802,2.123803623
"Egypt, Arab Rep.",2002,2.390204026,40.98706783,7.300375276,2.103723597
"Egypt, Arab Rep.",2003,3.193454737,46.17964072,9.137431765,2.09545323
"Egypt, Arab Rep.",2004,4.092071611,57.81990521,11.37711259,2.064377349
"Egypt, Arab Rep.",2005,4.471744472,62.95264624,14.46448521,2.022209527
"Egypt, Arab Rep.",2006,6.843838194,61.51853651,14.84638755,1.952913423
"Egypt, Arab Rep.",2007,7.087827427,65.07787325,13.5101746,1.887532171
"Egypt, Arab Rep.",2008,7.156283566,71.68062535,15.58248556,1.867404133
"Egypt, Arab Rep.",2009,4.6735998,56.55344464,9.130781939,1.888365224
"Egypt, Arab Rep.",2010,5.147234858,47.93635007,9.450615565,1.917951241
"Egypt, Arab Rep.",2011,1.764571949,45.25563416,12.3388402,2.104460762
"Egypt, Arab Rep.",2012,2.226199799,40.71176927,10.74549784,2.244757955
"Egypt, Arab Rep.",2013,2.185466054,40.37303806,9.781882564,2.305263643
"Egypt, Arab Rep.",2014,2.91591188,36.92018779,8.432227974,2.276439566
"Egypt, Arab Rep.",2015,4.372019078,34.84594296,4.129068947,2.098925548
"Egypt, Arab Rep.",2016,4.346643456,30.24654905,3.209080608,2.034682949
"Egypt, Arab Rep.",2017,4.181221,42.83213436,5.698864287,1.998178439
"Egypt, Arab Rep.",2018,5.331108619,45.91101967,7.596563559,1.897138318
"Egypt, Arab Rep.",2019,5.552093072,41.12401716,5.724961312,1.754974382
"Egypt, Arab Rep.",2020,3.550164838,32.12625557,3.257743272,1.62495387
"Egypt, Arab Rep.",2021,3.290646012,29.85697348,5.139120075,1.490805391
Saudi Arabia,2000,4.718179529,68.1664488,42.6687976,4.459832445
Saudi Arabia,2001,0.344583363,63.56058368,34.5968577,5.201039099
Saudi Arabia,2002,-0.688407963,64.59279741,32.43799366,4.976452278
Saudi Arabia,2003,8.768756519,69.83117071,38.01761088,4.774271463
Saudi Arabia,2004,8.630976889,75.08283666,43.62252928,4.591545684
Saudi Arabia,2005,5.944894035,81.95407594,49.9329268,4.427389452
Saudi Arabia,2006,3.313516937,89.94460468,50.7560683,4.280875786
Saudi Arabia,2007,2.213617148,94.8633171,48.47256765,4.149451092
Saudi Arabia,2008,6.238020047,96.10263087,55.02442895,4.028756558
Saudi Arabia,2009,-1.06671,84.85834156,35.7727356,3.91489466
Saudi Arabia,2010,5.039492843,82.54977718,38.88346816,-0.992481797
Saudi Arabia,2011,10.99376168,84.86139246,50.2036438,4.538671636
Saudi Arabia,2012,5.408916078,82.85043838,48.50070976,4.202642275
Saudi Arabia,2013,2.534778271,81.91721094,45.53092748,5.411491241
Saudi Arabia,2014,3.811422791,79.56164872,41.33843001,2.450431393
Saudi Arabia,2015,4.509059063,69.50388876,24.85530453,5.186855519
Saudi Arabia,2016,1.884492736,59.90542543,20.73499599,3.745065405
Saudi Arabia,2017,0.911048656,61.81431656,24.48655576,0.074782562
Saudi Arabia,2018,3.19922678,61.95558053,29.27074181,-2.553768258
Saudi Arabia,2019,1.09773375,60.19818623,25.45316774,-0.439701419
Saudi Arabia,2020,-3.581534863,49.71347553,17.31842703,4.833138517
Saudi Arabia,2021,5.07511035,57.14281356,25.56524182,-2.464562615
Iraq,2000,16.79613444,125.3365956,48.85878304,3.277527852
Iraq,2001,1.766608766,126.780256,49.56530176,3.11897283
Iraq,2002,-8.203704812,119.7620477,46.97210573,3.159049888
Iraq,2003,-36.65678044,154.2345253,53.29809161,3.015232358
Iraq,2004,53.38554729,120.2339771,64.77575323,2.851283058
Iraq,2005,1.675228636,115.7425403,65.3184968,2.963743471
Iraq,2006,5.638299152,89.65051986,63.72695265,0.733263441
Iraq,2007,1.888539362,74.09285311,53.21669111,-0.78904254
Iraq,2008,8.228107104,81.05554327,55.68572884,2.020299895
Iraq,2009,3.379299094,78.68737882,39.5126626,3.683912963
Iraq,2010,6.402564845,73.49747962,43.56828994,3.231385218
Iraq,2011,7.5464712,72.17132822,51.19454041,3.531816785
Iraq,2012,13.93643017,73.60868459,49.85101765,4.538921682
Iraq,2013,7.628285923,67.41001841,45.57936658,4.721566834
Iraq,2014,2.263688176,68.98248686,46.85439615,3.531019332
Iraq,2015,2.606766429,69.5917686,37.50371721,2.727109769
Iraq,2016,13.78737302,54.58832019,33.21892172,2.391512274
Iraq,2017,-1.819750351,59.78091239,39.20055423,2.230550464
Iraq,2018,2.633850991,65.80179177,46.14778691,2.332357697
Iraq,2019,5.513790575,68.98993842,40.6099024,2.275011157
Iraq,2020,-12.03679309,57.7423164,27.41701319,2.219386695
Iraq,2021,1.50218071,61.50326831,43.44585769,2.241273471
,,,,,
,,,,,
,,,,,
Data from database: World Development Indicators,,,,,
Last Updated: 06/05/2025,,,,,
